cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience
imagine the preparation of these antivaxxers hhh im gonna get dr mike on these points   ill bet hes never heard of this random study that i heard about on infomark im gonna get him   i cant wait to see the look on his face when i tell him about this one time this one thing happened and that caused something bad to happen dr mike is in for it today,skeptic,neutral,,,
this dude at the 56 minute mark is an aspiring actor just wants any platform he can get to show how capable he is ,,,,,
ive never seen one of these before but how do they recruit for it do they put out a casting call for crazy people,,,,,yes
in my opinion audience should be allowed to vote another audience member but the doctor should have recent time to answer now it felt like the audience didnt even wanna hear what the doctor had to say,,,yes,,
her anecdotal stories are absolute nonsense,,,,,
boy do anti vaxxers make me feel smart,skeptic,,,,yes
1125 shut it down people this dude said treating each other with respect and free media prevents diseases,,,,,
correlation does not equal causation,,,,,
i must say i had a huge prejudice against people who are antivaccines  seeing them debate has clarified how this scepticism emerged and made it look less unreasonable  i see two main causes for their opinions 1 scientific illiteracy especially concerning statistics 2 complete distrust of the government im afraid i wouldnt trust us government if i lived there either particularly not with that lunatic presiding it now still from distrust to believing conspiracy theories there is a long way to go,skeptic,,yes,yes,
nelle is afraid of vaccines but not the byproduct of the botulinum bacteria being injected into her face,skeptic,,,,
yo red hair girl is legit fact checked for every single point  like how do you get yourself so misinformed ,,,,,
that red haired woman is probably giving the anthrax community a bad rep by existing,,,,,
get those flags out of the find episodes,,,yes,,
it surprised me how quickly they voted people out,,,yes,,
why tf they voting each other out so fast seems to me like they dont care to learn even from their own kind they all just want a chance to talk so they can prove how smart they are for attention or whatever its sad,,,,,yes
cool doctor ,,,,,
some of these people are well jubilee has a level of responsibility to not exploit vulnerable people,,,,,
people do not know what the impact is on the human genome not only at a personal level but at the human level   when you vaccine nearly every person adults childrens all people groups and ages all over the world your are in essence declaring war on a virus  now every person has a different health level and some had already had dormant viruses which can  shame on him if he does not know about the nih and patents  you cant say your are informed if your not informed   ask him about mothers of des daughters   asking about the dengavax in philippines  come on,skeptic,,,,
if you went on to cars during the pandemic you could see all the reported incident of van some were injured severely others died   people would get a shot some had immediate life changing reactions of stroke ca gb  the unlucky death,,,,,
charlie kirk ah vid,,,,,
when has america ever been healthy fr lets all go review the epidemiological transition people,,,,,
nah thé hiv statement ole girl made sent me theres no way lmaz,,,,,
no vaccines but lip filler  book  yes,skeptic,,,,
i had to stop at the multicolored shirt guy the combined iq from theses skeptics is about 2 points higher than a baked potato from what i witnessed there was a disservice done to these people and our educational systems failed them most probably believe in obs and a flat earth and think wiki heals what a sad sorry bunch of intelligence no wonder aliens havent made contact theres probably a giant space signpost with a detour sign surrounding our planetary system,,,yes,yes,yes
la idea era debate y escucharse pero stop antivacunas preguntan hallan y undo él response cabin la presenta,,,yes,,
these comments are cooked believing the funded scientists and corrupt medical education,,,,,
all the scientists and doctors are bought out the real doctors online were against vaccines,skeptic,,,,
only an american would sit opposite a doctor and tell them well ive done my own medical research and youre wrong,,,,,
no matter what country its still the same system denmark or whatever,,,yes,,
he studied to be a doctor by the rockefeller system which controls all education so hes just indoctrinated by that system,,,yes,,
vers is just the tip of the iceberg,,,,,
theyre bots,,,,,
the real doctors online  lol,,,,,
t_dragon7777yeh they were censored,,,,,
 joeljacobsfitness7493 the real doctors online  lol,,,,,
doctors are indoctrinated,,,,,
imagine getting a vaccineeat healthy,skeptic,,,,
this guys patience is off the scale  champion listener,,,,,
listening to these people is making my brain melt,,,,,
i cant believe how they dont let him talk and just lift flags after the anti later stops talking,,,yes,,
this video is awesome because its 80 minutes of misinformation and 10 minutes of dr mike just trying to get through it ,,neutral,yes,,
the guy with the colorful jacket just said a bunch of nothing he speaks like he knows so much but he just be spitting out a bunch of big words to seem smart,,,,,
if someone makes a poorly designed airing for a vehicle it doesnt make me antiairbag to point it out it also doesnt mean all airways are bad however if there is a bunch of laws preventing manufacturers of airways from being held liable for producing an unsafe product why should it be surprising to find a significant portion of the population resistant to trusting them,,,,,
this is basically like a conversation between a dad and his kids on why they have to wear a helmet when skateboarding or riding a bike ,,,,,
this format is very unsettling because most of the time people have to leave their chair without the answer because of the flags i think after flags were raised the doctor should at least answer the last question made instead of allowing the person to leave the chair without an answer ,,,yes,,
hep b is not transmitted through food water or children sharing eating utensils,,,,,
do you also love the patients that did their own research and never show up to your or any other office to get fascinated,,,,,
the reality is that dr mike is not a published vaccine researcher hes never authored a vaccine study nor does he carefully review vaccine studies or cdc publications with his followers he is primarily an entertainment personality regurgitating talking points of pr campaigns lying by omission is still lying,skeptic,neutral,,,
oh the smugness of these running rulers,,,,,
im sorry but the first girl looked insane,,,,,yes
this format needs to change get rid of the flags or dont let the flags be raised when the surrounded person is talking or making their point most of the time the main speaker is getting cut off its very frustrating,,,yes,,
id how he is so calm but i applaud his patience,,,,,
representation of infinite patience,,,,,
the organizers did well in choosing the color of the flags those people are walking red flags,,,yes,,
the tragedy in that video is that the majority of the people that spoke didnt went there to learn something or to just listen  the doctor and disagreethey went there just to say what they believe it is funny but they just when there for a free psychological therapy session,,,,,
some of this logic with vaccines being deadly is something my family member took the vaccine and then bamthey died the bus that hit them had nothing to do with it,skeptic,,,,
the  wont be happy to see you questioning them,,,,,
you shouldnt be resistant to trusting airways  you should find out which manufacturer is having issues or recalls and not purchase that product,,,,,
 undystains1103  i agree now try to answer the question i asked,,,,,
excellent analysis of this scenario,,,,,
it doesnt take a researcher to easily debut anti vac claims most average does can debut these people mike has more than enough expertise by going through medical school if you disagree you need to supply an example of something he said that was wrong,,neutral,,,
 uranium2  no we do not have  to supply an example of something he said that was wrong we simply have to observe what none5662 said about his involvement in vaccine trials or studies,skeptic,,,,
 uranium2  i already have there are children who get it hep b from sharing food utensils  hep b is not transmitted through saliva or sharing eating utensils,,,,,
would you believe the consensus from all of the top peerreviewer vaccine researchers from around the globe anyway  i would ask the same about immunologists and biologists also from all around the globe,skeptic,,,,
 laxpaint  certainly and also publications based on the findings of those top peer reviewed researches from around the globe such as published by who cdc cochrane review ect   for example who states that ipv does not prevent the spread of poliovirus   cdc states 15 of persons lose detectable measles specific antibody within the 16 years following vaccination   bu school of public health states 50 of the population is colonized with pertussis resurgence of shooting cough may owe to vaccines inability to prevent infections ect   do you have any items of consensus by top peer reviewed researchers that you could share with me,pro-vaccine,,,,
nah hundred percent it sensed the vaccine  im sorry for your loss,skeptic,,,,yes
4244 she lost all credibility when she said aids doesnt come from hiv but then adding also stating that she reads as a justification for not trusting a medical professional what is she reading,,,,,
rfk jr is not a health expert in any aspect and its insulting to anyone who is a true expert to even call him one rfk jr is not someone who is rational nor uses basic common sense if he did he would know better to trust doctors and medicine and also know better than to align himself with a selfserving felon who will always put money before people,,,,,
i respect everyone here they dont shout scream and even pushing opinions but only speak their own opinions,,,,,
nah health car denies my culture like wtf,,,,,
the consort of 21st century speaking  i wish these people could go back and experience the world without vaccines,skeptic,,,,
bless you doctor you were so sympathetic and patient no matter how some of them were so rude to you like it is your fault for everything that happened disappointment they couldnt let you speak more and provide your point of view along with facts,,,,,
bro u know its bad when the room of antivaxxers is trying to contain their laughter when you look a doctor in the eye and say that hiv doesnt cause aids,skeptic,,,yes,
these people do not understand how to argue a point  just sewing points inherently did anyone catch the cop said when i was law enforcement,,,,,
autism very much exists in japan mental health care doesnt i should know i live here,,,,yes,
does dude in the glasses and bun never work or what hes in every debate on here ,,,yes,,
doctor mike  please list the ingredients of the vaccines  these crazy people say that aluminum and mercury is in the vaccines along with fertile tissue   they must be absolutely cutters   what is in the vaccines,skeptic,neutral,,,yes
what a shift program they are only ever able to get parkway through their conversation so there is nothing valuable here,,,,,
1 sane person vs 20 insane people,,,,,yes
they arent even talking about vaccines their main focus is the mistrust in corporations the government and covers by corporations,skeptic,,,,
i can clearly tell that the doctor was annoyed that they kept interrupting he wanted to give a full answer that would satisfy the other person,,,,,
i agree anti vaccine lies cost lives but pro vaccine lies also cost lives,skeptic,,,,
the main reason someone is anthrax seems to be a lack of trust in the medical industry which is completely valid most arent saying its bad its more of whats the risk and what are you not telling me,,,,,
the lady with the jean outfit was so rude and so so wrong,,,,,
saying did you know did you know to a doctor is crazy,,,,,yes
funny enough people only vote someone out when they feel like their side is losing rather than learning,,,yes,,yes
total garbage the medical profession is responsible for a prolific amount of deaths,,,,,
men,,,,,
aluminium salts are in vaccines and thimerosal is a mercurybased preservation that has been used for decades in the united states in multidose dials dials containing more than one dose anyone believing otherwise is the butter,skeptic,,,,
1 paid propagandist vs 20 based people,,,,,
driving cars cost lives too blah,,,,,
 sereneacott47 yeah thats not a argument against my point any lie in any direction can cost lives,,,,,
what are some pro vaccine lies,skeptic,,,,
 lepuzki  the claim that they are safe,,,,,
 lepuzki that they are 100 safe vaccines are 100 effective at preventing infection vaccines completely stop transmission side effect are extremely rare and mild hard immunity is achievable with x of vaccination and vaccines have been tested long term before roll out,pro-vaccine,,,,
dude in the colored shirt needs to just never talk again he cant even formulate a single thought,,,,,
actually the vaccine also falls under taking a life to save another,skeptic,,,,
this is the stupidest format ive ever tried to invest information it would actually be interesting if every round got at least 4 minutes dialogue in but no conversation with dr mike can progress forward because of 20 clueless babies with no impulse control keep shutting it down so they can go back in the ring to get everyone to smell their brainfart again,,neutral,yes,,
i love watching these 20 vs 1 it makes me feel smart,,,,,yes
ok last one but i have to say that i nominate everyone in the round but dr mike for the next season of the gutenberg trials,,neutral,,,
i dont understand the point of the red flags,,,yes,,
kudos to dr mike for not having a stroke enduring this im halfway trough and i thinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,neutral,,,
i respect dr mike voodoo much for his approach,,neutral,,,
this is why i love dr mike i was injured by vaccines and i didnt know i could be compensated im applying,skeptic,neutral,,,
i feel like watching a kumite at the colosseum,,,,,yes
brought to you by prize ,,,,,
i really wanted to watch this but i had to turn it off parkway through when i realized a lot of it is people talking at him to make their claims not asking him questions and then voting to change people incidentally cutting mike off from speaking cycle repeated too bad i really wanted to hear what he had to say,,neutral,,,
3758 people forgot that sometimes the government may limit free speech to prioritize public safety when research shows that a vaccine can help and people say it only does it harm does it not sway peoples opinions therefore jeprodizing public health,pro-vaccine,,,,
the number 4 came in hot and dis way too much the red haired one is full on cuckoo,,,,,
i fear i have a crush on the doctor,,,,,
guez  what a waste of time for that doctor,,,,,
i swear ive seen some of these people before  does jubilee hire professional moons and how does one get that job,,,,,
these people barely understand how the government works let alone vaccines omg,pro-vaccine,,,,
where was the debate there were few instances where there was actually a back and forth before people voted them off i think that there needs to be a change to this voting off system because i dont get the purpose its just stirling debate,,,yes,,
most of these people weren even debating the statement they were just explaining why theyre vaccine skeptics clearly not as interested in engaging as they think they are,skeptic,,,,
see mike keeps talking about vaccines in general and all the normal standards for regular vaccines that were tested for decades c19 was not studied for decades how could billions of vaccines for the world be madetested within weeks,skeptic,neutral,,,
the police officer talking about a judge ordering his daughter to get fascinated against his wishes is so disingenuous the dude presents it like the government is forcing it rather than what happened his wife wanted the vaccines he didnt and he brought her to court to stop it from happening and then the judge sided with the mother the judge only got involved because he got them involved and now hes crying that he lost the case,skeptic,,,,
please please publish some poetry or a book or anything youre an absolute goldsmith,,,,,
 some_random_champ thankyou thats very kind of you to give me some of your time and precious thoughts,,,,,
lmaz this is gold,,,,,
respect him for being paid by big pharma ,,,,,
